dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage,ext_sample_entropy_m2,ext_approx_entropy_m2,ext_lz_complexity,ext_hurst_rs,ext_psd_slope,ext_spectral_centroid,ext_spectral_bandwidth,ext_spectral_rolloff85,ext_zero_crossing_rate,ext_turning_point_rate,ext_outlier_rate_3sigma,ext_spike_rate_mad6,ext_arch_lm5,ext_volatility_ac1,ext_trend_strength,ext_seasonality_strength,ext_changepoint_count,ext_recurrence_rate,ext_recurrence_determinism,ext_fnn_fraction,ext_corr_dim_approx,ext_bds_like,ext_zero_fraction,ext_cv2_positive,base_generator
ar2_s000:2100:800,ar2_s000,linear_stochastic,synthetic,forecast,"{'generator': 'ar', 'phi': [0.2328348684464723, -0.3913625866014205], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2100,v2,1,800,1,0.0,False,-1.9032394707859827e-17,1.0,0.0324688120850797,0.22733523504272002,1.0,3.0,,False,0.1604109463019654,-0.08306187905369922,-0.43665405226217957,True,0.14764342476211142,True,0.9951682226441915,True,0.9090702050654296,0.24285714285714285,0.4940679932551671,0.001,0.30849767870845046,0,0.43194576543160096,True,0.9772870435288166,2.151762203259462,0.5573316996160259,0.09092979493457043,0.9162909219773133,0.9605472048534283,-0.04425628287611494,,2.0,,,,,,,,,2.1546649629174235,1.4833521263324245,1.7238392939222322,0.5462317136229103,-0.1540830451107447,0.22151570726138523,0.1074813092261372,0.33984375,0.46057571964956195,0.581453634085213,0.005,0.0,11.935050098225538,0.05934724840404716,0.00020762458815060114,0.32635574366591413,5.0,0.09972003513928457,0.5316976782479829,0.5673352435530086,2.5115018722333735,0.0016013979266772393,0.0,0.5960236195213621,ar
garch_a0.171_b0.356_s000:2200:800,garch_a0.171_b0.356_s000,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'garch', 'omega': 0.05, 'alpha': 0.17133582191283225, 'beta': 0.35583565619308466, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2200,v2,1,800,1,0.0,False,-1.586032892321652e-17,1.0,0.05199884989102552,0.03946967928915601,1.0,2.0,,False,-0.13876968000257195,0.11900120049148155,-0.377700337228877,True,0.1437288572495835,True,0.9986108444236155,True,0.9207064762363646,0.4464285714285714,0.5342719311973566,0.001,0.7233420567483542,0,0.4609748702498291,True,0.9981561447854108,2.1403275672358326,0.5118951465865687,0.07929352376363541,1.0671315195431965,1.0098358676097272,0.057295651933469305,,,,,0.0,,,,,,2.15772446007388,1.48771105157826,1.747948934396669,0.5488658296662299,-0.0677298190039167,0.24530678273692924,0.15035936182382592,0.43359375,0.4668335419274093,0.6416040100250626,0.00125,0.0,10.73079489708523,0.26687018819277813,0.008060700963761325,0.09027350903685247,5.0,0.09972003513928457,0.5173719743125309,0.5988538681948424,2.521043955431836,0.0026790031365980793,0.0,0.5972790676685668,garch
fbm_h0.558_s000:2300:800,fbm_h0.558_s000,long_range,synthetic,forecast,"{'generator': 'fbm', 'H': 0.5583878582134619, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2300,v2,1,800,1,0.0,False,3.1720657846433043e-18,1.0,0.034996778679547376,-0.19733788630686488,1.0,4.0,,False,-0.10190496202697874,0.06213049464681042,-0.8438642593700565,True,,False,0.9978684107323683,True,0.9128425197105553,0.15357142857142855,0.5352425216521148,0.001,0.7449681303494409,0,0.5138383038339971,True,0.994760734473015,2.1341406019096425,0.6020692149819841,0.0871574802894447,1.049716610341562,1.0196933202586786,0.030023290082883403,,,,0.5583878582134619,,,,,,,2.1666017171222363,1.50619063500341,1.7358941141594506,0.5878354206345386,-0.117583554222695,0.23120618886974492,0.14247154219449704,0.419921875,0.4568210262828536,0.6466165413533834,0.00375,0.0,3.0946398437156897,0.18058995929869237,0.005846988132834574,0.10743987975752718,7.0,0.09972003513928457,0.4994236785773094,0.6146131805157593,2.532309811880412,0.0008074619436134467,0.0,0.532203018291216,fbm
colored_noise_b0.566_s000:2400:800,colored_noise_b0.566_s000,colored_noise,synthetic,forecast,"{'generator': 'colored_noise', 'beta': 0.5659974355565369, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2400,v2,1,800,1,0.0,False,-3.8064789415719653e-17,1.0,0.024218304768773524,-0.2451692201266118,2.0,4.0,,False,0.06901290673454008,-0.02841896882945727,0.4965880549736326,True,0.16189208842749125,True,0.9963901019217734,True,0.8679194474422558,0.060714285714285714,0.3988427268025861,0.001,0.4025565941213073,0,0.6580396065444704,True,0.9888645569398407,2.0922055834049336,0.6053746158134309,0.1320805525577442,0.9648767243878671,0.9794927575510282,-0.014616033163161068,,,,,0.0,,,,,,2.0741677587105696,1.4826007554151737,1.6756200129733585,0.7060986418864207,-0.6693467600844826,0.1543329232321141,0.13753605494493662,0.32421875,0.3579474342928661,0.6278195488721805,0.0025,0.0,13.207551723194548,0.055418214885187916,0.00846471688420114,0.22810991527535077,4.0,0.09972003513928457,0.5172073110489049,0.5802292263610315,2.5349446452541065,0.005987401489670002,0.0,0.5251473842211616,colored_noise
chirp_f0.070_0.285_s000:2500:800,chirp_f0.070_0.285_s000,oscillatory_quasiperiodic,synthetic,forecast,"{'generator': 'chirp', 'f0': 0.07035723479231003, 'f1': 0.2854166648182559, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2500,v2,1,800,1,0.0,False,-7.137148015447434e-18,1.0,-0.000365001064473121,-1.5031433320165,2.0,2.0,,False,-1.0,1.0401629676810638,0.12918697359501113,True,0.3081399212299235,True,0.9996462947119387,True,0.6911470485564191,0.14642857142857144,3.160441157774464e-07,0.001,0.95,0,0.09881591851642867,True,0.6856274229340511,0.9261757793430093,0.03754132283986682,0.30885295144358094,2.1940073061414442,0.9797127294870349,1.2142945766544093,,,,,0.0,,,,,,1.2702469453783336,1.202395731527854,1.482742889177864,0.04676437236727703,-3.264700765170139,0.17393158421667163,0.03965201841627577,0.21875,0.3566958698372966,0.3558897243107769,0.0,0.0,482.6662276929185,-0.1681488321731913,1.1097168737261853e-06,0.4458803142047042,5.0,0.09972003513928457,0.5847192491355179,0.4197707736389685,2.0068436737033255,0.002392150074525118,0.0,0.2192288408611763,chirp
regime_switch_ar_p0.038_s000:2600:800,regime_switch_ar_p0.038_s000,regime_switching,synthetic,forecast,"{'generator': 'regime_switch_ar', 'p_switch': 0.03821125046890304, 'phis': [(0.569701411142013, -0.006796115361928395), (-0.8233764714297123, 0.2932038846380716)], 'sigmas': [0.25, 0.5], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2600,v2,1,800,1,0.0,False,6.3441315692866086e-18,1.0,1.0051467916061092,41.14047108609491,10.0,3.0,,False,0.6490886657869949,-0.6450543963806569,0.03975994303846563,True,0.10223309072412977,True,0.9992772325273032,True,0.7013544728334808,0.4964285714285714,0.2655084928948827,0.001,0.4112819803943949,0,-0.11312539696267775,True,0.649252631384597,0.007873503984752606,0.4101094384915196,0.29864552716651915,0.5923776955735294,0.9979808267665577,-0.4056031311930284,,,,,0.0,,,,,,0.006193283561280678,0.01634527994162549,1.181372383247404,0.5050314287818595,0.218269621401193,0.41928351333693953,0.13604132419687168,0.49609375,0.10513141426783479,0.7794486215538847,0.02125,0.3667083854818523,676.0727087138571,0.9454755174524054,9.900565796427951e-05,0.7697325060509488,6.0,0.09972003513928457,0.9771118063560019,0.2521489971346705,0.3890516976100329,0.07443551259272208,0.015,28.985766986123313,regime_switch_ar
channel_equalization_n0.015_s000:2800:800,channel_equalization_n0.015_s000,input_driven_memory,synthetic,input_driven,"{'generator': 'channel_equalization', 'noise_std': 0.015140180973756013, 'drive_scale': 0.7868184910407645, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2800,v2,1,800,1,0.0,False,1.2053849981644556e-16,1.0,0.061127752953331844,-1.1694219387104314,1.0,5.0,12.976867517550716,True,0.6639000716339577,0.30485625853879816,5.023726575726421,True,0.08915112522090395,True,0.9991659540978333,True,0.9294070685020271,0.20357142857142857,0.5639726804040822,0.001,0.038510864060453565,0,0.4423908534283865,True,0.9258734136172501,1.3931744049374983,0.5088500226682324,0.07059293149797286,0.5797412598444603,0.17675878995751287,0.40298246988694747,,2.0,,,,,,,,,1.3858349380159543,1.3487229167001513,1.7600037546338874,0.5308627435260047,-0.0370387508695081,0.2402336997679314,0.14252335444184316,0.4140625,0.47434292866082606,0.4223057644110276,0.0,0.0,8.841349467816956,0.025448728854795863,0.00022680300544497545,0.09797717410918624,4.0,0.13160811487590413,0.5759201497192764,0.7492836676217765,2.377007684325321,0.00012286672199135484,0.0,0.2308508580105411,channel_equalization
ikeda_u0.734_s000:2900:800,ikeda_u0.734_s000,chaotic_map,synthetic,forecast,"{'generator': 'ikeda_map', 'u': 0.7338033362221776, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2900,v2,1,800,1,0.0,False,9.595498998545996e-17,1.0,0.2065908092754585,-0.8229829065470051,2.0,11.0,,False,0.43474080240745216,0.4655628971304061,7.626830824685866,True,0.29294819445447395,True,0.9983454416952873,True,0.80996419850791,0.40178571428571425,0.23139082826900192,0.001,0.9345386318724492,0,0.13522703212928655,True,0.7642229261622923,0.49632236282690745,0.2809745849590819,0.19003580149208998,0.7518372148228284,0.3157472097456156,0.4360900050772128,,,,,1.0,,,,,,0.838007813480111,0.8941810508022963,1.4104139677545535,0.27860208525381475,1.3623165530836119,0.353649641712843,0.08973659918827369,0.42578125,0.7321652065081352,0.8170426065162907,0.0,0.0,79.79597166031543,0.4270201279403261,1.5620427454288155e-05,0.37376980441914553,5.0,0.09972003513928457,0.5585377902190022,0.28939828080229224,2.1549336962869905,0.014659105087124924,0.0,0.13471654021495902,ikeda_map
tent_mu1.688_s000:3000:800,tent_mu1.688_s000,chaotic_map,synthetic,forecast,"{'generator': 'tent_map', 'mu': 1.6879582277836467, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3000,v2,1,800,1,0.0,False,7.2957513046796e-17,1.0,-0.18594847153107566,-1.1729909522103312,2.0,8.0,,False,0.427979318351407,0.5641418649875425,8.105239299008351,True,0.5114836541478995,True,0.997176839393151,True,0.8323737131764478,0.4321428571428571,0.27583744329774124,0.001,0.8062838298766365,0,0.14586112732346232,True,0.6396752966942804,0.49187981417678966,0.2928238129137155,0.16762628682355218,0.756320488714006,0.08876269859040165,0.6675577901236044,0.5235196492938948,,,,1.0,,,,,,0.8004697495484565,0.8579890705096784,1.4104139677545535,0.389097172134134,1.107506900380775,0.3745106776612043,0.0928421462299054,0.466796875,0.8160200250312891,0.868421052631579,0.0,0.0,138.9930654585623,0.2824156555710208,0.0002003559162135904,0.16100192886416448,10.0,0.09972003513928457,0.5557385147373621,0.2492836676217765,2.0899707198474893,0.003314762074938221,0.0,0.07782709494120384,tent_map
sine_map_a0.875_s000:3100:800,sine_map_a0.875_s000,chaotic_map,synthetic,forecast,"{'generator': 'sine_map', 'a': 0.8748452122854191, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3100,v2,1,800,1,0.0,False,4.01266321757378e-16,0.9999999999999999,-0.17324161705099278,-1.7103015313943868,186.0,3.0,,False,0.9651358255365932,0.03373692359682812,35.404596606875685,True,0.18275505809868145,True,0.7124688238510779,True,0.23441111531642475,0.5,0.018265192651703593,0.001,0.7906622048254318,0,0.012543202284985079,True,0.4705944892418118,0.2183300510276472,0.06286789936120374,0.7655888846835752,0.18671950745277482,0.03357455683369055,0.15314495061908429,,,,,1.0,,,,,,0.4028777845432134,0.5022930365764142,0.6750699332842308,0.062235179175019764,1.1273071539585344,0.47701433325319587,0.07131647871681676,0.5,1.0,1.0,0.0,0.0,501.62918111032224,0.2182733744397428,9.648248749938304e-07,0.946786452846594,19.0,0.09972003513928457,0.5619957187551458,0.19197707736389685,0.9915736349152385,0.014296253117352525,0.0,0.10420137841955647,sine_map
circle_map_k1.47_s000:3200:800,circle_map_k1.47_s000,chaotic_map,synthetic,forecast,"{'generator': 'circle_map', 'omega': 0.3025342935124407, 'K': 1.4746376723632502, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3200,v2,1,800,1,0.0,False,7.930164461608261e-19,1.0,0.2766520048106864,-0.8640365604409084,1.0,2.0,,False,0.9999999999188913,-0.0004988119452232764,321.26324708407697,True,,False,0.1441053876718556,True,0.2786824135864116,0.19999999999999998,2.918474786058623e-15,0.001,0.95,0,0.011737424396975562,True,0.41910067826084296,0.1380141876733897,-0.01763892447643852,0.7213175864135883,9.006037245420054e-06,0.022334100078847105,-0.022325094041601684,,,,,1.0,,,,,,0.4172185442012574,0.43608409417506167,1.2657561249079328,-0.03683674220138788,2.1054863261569388,0.28316512461000704,0.0989517068867999,0.400390625,0.4005006257822278,0.39974937343358397,0.0,0.0,753.2852364422888,0.034502871852339426,2.569494016446683e-07,0.9874999999999998,0.0,0.10300408042626907,0.6751155746851586,0.23065902578796563,1.2091851976758818,0.06341993798195905,0.0,0.24081358184156282,circle_map
lozi_a1.69_b0.36_s000:3300:800,lozi_a1.69_b0.36_s000,chaotic_map,synthetic,forecast,"{'generator': 'lozi_map', 'a': 1.690277692312971, 'b': 0.36303412828471354, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3300,v2,1,800,1,0.0,False,2.4583509830985608e-17,1.0,-0.3989077587947548,-0.5431885526477718,2.0,9.0,,False,0.3629056337405948,0.6186918745015053,10.95796487095636,True,0.48231440900979694,True,0.9965046275332089,True,0.8635272722393922,0.4875,0.39141514685609086,0.001,0.5117055183411627,0,0.24304970587706543,True,0.6910314896662473,0.4668244576936233,0.3494275475790989,0.13647272776060781,0.7981819130119431,0.13565578409304888,0.6625261289188942,,,,,1.0,,,,,,0.7483144569439045,0.8131486881625354,1.4465784284662087,0.3272533133944826,0.8467595032554436,0.3626869049668771,0.11977715927586405,0.47265625,0.6783479349186483,0.8308270676691729,0.0,0.0,216.01552084401354,0.44107518939449963,0.000297438598320654,0.23199062750393967,5.0,0.09972003513928457,0.6076074427795158,0.23782234957020057,1.8854559478330413,0.013939895300109195,0.0,0.3968339941995402,lozi_map
